＃,Japanese,English,French,German
7292,普通鋳鉄制輪子,cast iron brake shoe,sabot de frein en fonte (m),Bremsklotzsohle aus Gusseisen (f)
7293,普通継目［レールの］,joint,"articulation (f), joint (m), joint de rail (m), raccord (m)","Gelenk (n), Stos (m), Schienenstos (m), Anschlusstuck (n), Anschlusstutzen (m)"
7294,普通分岐器,standard turnout,branchement standard (m),gewohnliche Weiche (f)
7295,普通丸鋼,plain bar,"barre ronde (f), rond (m)",glatter Stab (m)
7296,普通列車,local train,train omnibus (m),Personenzug（m) auch Nahschnellverkehrszug (m)
7297,普通レール,"normal rail, as rolled rail","rail normal, comme rail roulant (m)","normale Schiene (f), wie gerollte Schiene (f)"
7298,復旧［リレーの］,restoration,etat de repos,Ruhestellung (eines Elementarrelais) (f)
7299,フック［鉄筋の］,hook,"crochet de fermeture (m), crochet (m)","Verschlushaken (m), Haken (m), Einhangehaken (m)"
7300,フックボルト［まくらぎの］,hook bolt,boulon a crochet (m),Hakenbolzen (m)
7301,覆工［トンネルの］,tunnel lining,revêtement de tunnel (m),Haftfestigkeit
7302,覆工応力測定［トンネルの］,measurement of lining stress,mesure de la contrainte au revêtement (f),"Verkleidung (f), Ausfütterung-streß (f), spannung (f)"
7303,覆工背面,back side of lining,revers de revêtement (m),Verkleidung (f)
7304,覆工板［トンネルの］,"road decking panel, cover plate",dalle de recouvrement (f),"Straßendeckplatte (f), Deckplatte (f)"
7305,プッシュ・オーバー解析,pushover analysis,analyse poussée (f),einfache Analyse (f)
7306,プッシュ・プル運転,push-pull operation,opération de poussée-traction (f),Wendezugbetrieb (m)
7307,プッシュ・プル列車,push-pull train,rame réversible (f),"Wendezug (m), Gegentaktzug (m)"
7308,物理検層,geophysical logging,prospection géophysique (f),"geophysische Diagraphie (f), geologisches Logging (n)"
7309,物理探査,geophysical prospecting,reconnaissance géophysique (f),"geophysikalische Schürfung (f), geophysikalische Schürfverfahren (f)"
7310,物理的性質試験［バラストの］,test for physical property of ballast,essai des propriétés physiques du ballast (m),Test für physische Eigenschaft des Ballastes (m)
7311,物流センサス［貨物の］,freight transport census,recensement du transport de marchandises (m),Gütertransportzensus (m)
7312,不定期列車,nonscheduled train,train supplémentaire (m),"Entlastungszug (m), Verstärkungszug (m)"
7313,負鉄筋,"negative reinforcement, negative moment reinforcement",armature soumise à l’action des moments fléchissants négatifs (f),Bewehrung im Bereich negativer Momente (f)
7314,不凍液［内燃機関の］,antifreeze,"antigel (m), produit antigel (m)",Gefrierschutzmittel (n)
7315,不動区間［ロングレールの］,unmovable section,section passive (f),unbeweglicher Teil (m)
7316,浮動式キャリパー,floating caliper,pied à coulisse flottant (m),gleitende Bremsbacke (f)
7317,浮動充電［変電所の］,floating charge,charge d’entretien (f),"Leerlaufladung (f), Schwebeladung (f)"
7318,不等沈下［地盤の］,differential settlement,"tassement différentiel (m), tassement inégal (m)","relative Setzung (f), Setzungsunterschied (m), ungleichmäßige Setzungen (fpl)"
7319,不等辺スコット結線変圧器,scalene Scott connected transformer,transformateur scalène à montage Scott (m),ungleichseitiger Transformator mit Scott-Schaltung (m)
7320,不等率［架線弾性係数の］,variability,irrégularité de élasticité [de la caténaire] (f),Ungleichförmigkeit [Fahrleitung] (f)
7321,不燃化,non-combustibilization,incombustibilité (f),"Unbrennbarkeit (f), Nichtbrennbarkeit (f)"
7322,不燃材,"incombustible material, non-combustible material","matériau incombustible (m), matériau non-combustible (m)","nichtbrennbares Material (n), unbrennbarer Stoff (m)"
7323,不燃性,"incombustible, incombus-tibility",incombustibilité (f),"unverbrennbar (adj), nichtbrennbar (adj)"
7324,富配合［コンクリートの］,rich mix,mélange riche (m),hochwertiges Gemisch (n)
7325,吹雪,snow drifting,"tourbillon de neige (m), blizzard (m)","Schneeverwehung (f), Schneegestöber (f)"
7326,吹雪防止柵,snow fence against drifting snow,haie paraneige (f),Schneezaun gegen Treibschnee (m)
7327,吹雪防止林,snow break forest,plantation paraneige (f),"Schneebruchwald (m), Schneeverwehungen, Schneehecke (f)"
7328,部分運休,partially cancelled operation,exploitation partiellement annulée (f),teilausgefaller Betrieb (m)
7329,部分界磁,"tap field, short field",prise de champ (f),angezapftes Feld (n)
7330,部分開放形シールド,partial open type shield,bouclier de type partiellement ouvert (m),"partielle offene Schaltungsform, die schützt (f)"
7331,部分線増,partial track addition,augmentation partielle de voies (f),partieller Fährtenzusatz (m)
7332,部分溶込み［溶接の］,partial penetration,pénétration partielle (f),partielles Eindringen (n)
7333,不平衡［軌道回路の］,unbalance,déséquilibre,Schieflast (f)
7334,不平衡電流,unbalance current,courant déséquilibré (m),Unsymmetriestrom (m)
7335,不平衡補償装置［交流電気鉄道の］,static unbalanced power compensator,compensateur statique de puissance déséquilibrée (m),statischer unkompensierter Stromkompensator (m)
7336,不飽和土,"partially saturated soil, unsaturated soil","sol non saturé (m), sol insaturé (m)",teilweise gesättigter Boden (m)
7337,踏板［車両の］,"step tread, step",marchepied (m),Trittbrett (n)
7338,踏切,"level crossing, grade crossing","passage à niveau (m), PN","Niveauübergang (m), Wegübergang (m), schienengleicher Bahnübergang (m), schienengleicher Übergang (m)"
7339,踏切ガード,guardrail（米）/check rail（英）,"contre-pointe (f), contre-rail (m), rail de guidage (m)","Beispitze (f), Führungsschiene (f), Leitschiene (f), Radlenker (m), Schutzschiene (f), Sicherheitsschiene (f), Führungsbahn (f)"
7340,踏切警標,crossing warning sign,indicateur de passage à niveau (m),Bahnübergangswarnschild (n)
7341,踏切警報機,road warning device,signal routier de passage à niveau (m),Straßenwarneinrichtung (f)
7342,踏切警報時間,"cycle duration, train approach warning duration, approach warning time",durée du signal de passage à niveau (f),"Zyklusdauer ( f), Zugeinfahrtswarndauer (f), Einfahrtswarnzeit (f)"
7343,踏切故障検出器,crossing failure detector,détecteur de défaillance de passage à niveau (m),Bahnübergangsfehlerdetektor (m)
7344,踏切故障通告灯,crossing failure warning light,lampe avertissant d’une défaillance de passage à niveau (f),Bahnübergangsfehlerwarnlicht (n)
7345,踏切故障表示器,malfunction indicator,indicateur de panne de passage à niveau (m),Funktionsstörungsanzeiger für Bahnübergang (m)
7346,踏切鎖錠装置,barrier lock,verrouillage barrière de passage à niveau (m),Schrankenverschluss (m)
7347,踏切支障警報装置使用標識,indicator of using obstruction warning device for level crossing,indicateur d’utilisation de détecteur d’obstacles pour passage à niveau (m),Anzeiger der Benutzung des Hinderniswarngeräts für Bahnübergänge (m)
7348,踏切支障報知装置,obstruction warning device for level crossing,détecteur d’obstacles pour passage à niveau (m),Hindernismeldegerät für Bahnübergang (n)
7349,踏切遮断機,crossing gate,barrière (f),automatischer Schrankenantrieb (m)
7350,踏切集中監視装置,central monitoring device of level crossing,"dispositif centralisé de surveillance des passages à niveau (m), dispositif centralisé de contrôle des passages à niveau",zentrale Überwachungsvorrichtung der Bahnübergänge (f)
7351,踏切障害事故,level crossing accident,accident à un passage à niveau (m),Bahnübergangsunfall (m)
7352,踏切除雪,snow removal at lev-el crossing,déneigement au passage à niveau (m),Schneeräumung an einem schienengleichen Bahnübergang (f)
7353,踏切信号機,railway crossing signal,signal de passage à niveau (m),Bahnübergangssignal (n)
7354,踏切制御器（M形）,level crossing controller,contrôleur de passage à niveau (m),Bahnübergangsregler (m)
7355,踏切制御子,electronic train detector,détecteur de trains électronique (m),elektronischer Zugdetektor (m)
7356,踏切制御盤,crossing control board,panneau de contrôle de passage à niveau (m),Bahnübergangssteuertafel (f)
7357,踏切代用てこ,substitute lever for level crossing,levier substitué pour passage à niveau (m),Ersatzhebel für Bahnübergänge (m)
7358,踏切バックアップ装置,backup system for level crossing,système de réserve pour passage à niveau (m),Reservesystem für Bahnübergänge (n)
7359,踏切保安装置,level crossing protection device,dispositif de protection des passages à niveaux (m),Schutzvorrichtung für Bahnübergänge (f)
7360,踏切防護スイッチ,protective switch for level crossing,bouton de protection pour passage à niveau (m),Schutzweiche für Bahnübergänge (f)
7361,踏段［車両の］,"footstep, foot iron, step",palier de pied (m),Trittbrett (n)
7362,踏段高さ［車両の］,step height,hauteur de marche (f),Höhe des Trittbrettes (f)
7363,ブーム式掘削機,boom heading machine,machine à attaque ponctuelle (f),"Bagger (m), Trockenbagger (m), Dröhmebagger (m)"
7364,冬ダイヤ,diagram in winter season,horaire d’hiver (m),Winterfahrplan (m)
7365,不溶分［潤滑油の］,insolubles,insolubles (m),unlösliche Stoffe (pl)
7366,ぶら［リレーの］,free,libre,frei (adj)
7367,フライアッシュ,fly ash,cendre volante (f),Flugasche (f)
7368,フライアッシュセメント,"fly-ash cement, portland fly-ash cement","ciment de cendres volantes (m), ciment portland de cendres volantes (m)","Flugaschenzement (m), Portland-Flugaschenzement (m)"
7369,プライスキャップ制,price cap regulation,tarif selon le taux d’augmentation des prix (m),Preiserhöhungsvorschrift (f)
7370,フライホイール,flywheel,volant (m),Schwungrad (m)
7371,フライホイール蓄電装置,"flywheel battery, flywheel energy storage system","batterie de volant (f), système de stockage d’énergie de volant (m)","Schwungbatterie (f), Schwungrad-Energiespeicher (m)"
7372,FRACAS,"failure reporting, analysis, and corrective action system","logique de traitement des incidents et actions correctives (f), LITAC","System von Ausfallberichterstattung, Analyse und Korrekturmaßnahmen (n), FRACAS"
7373,プラグドア［車両の］,plug door,porte louvoyante (f),Drehschwenktür (f)
7374,ブラケット［橋梁の］,bracket,"console (f), support (m)","Ausleger (m), Konsole (f), Stütze (f), Wandarm (m), Wandgestell (n), Auflager (m), Träger (m), Konaolw (f), Wandkonsole (f)"
7375,ブラシ［直流機の］,brush,"balai (m), balai de carbone (m)",Kohlenbürste (f)
7376,ブラシ式除雪車,snowplow car with brush rotary,chasse-neige à brosses rotatives (m),Schneepflugwagen mit rotierender Bürste (m)
7377,ブラシ保持器,brush holder,porte-balai (m),Bürstenhalter (m)
7378,プラスチシティー［コンクリートの］,plasticity,plasticité (f),Plastizität (f)
7379,ブラスト［金属表面の］,blast,"grenaillage (m), projection d’abrasif (f)",Strahlen (n)
7380,ブラックバー［整流子の］,black bar,noircissement de commutateur (m),schwarze Stange (f)
7381,フラッシオーバー,flashover,flash (m),Überschlag (m)
7382,フラッシュオーバー［火災の］,flash over,contournement (m),Überschlag (m)
7383,フラッシュバット溶接,flash butt welding,"soudage en bout par étincelage (m), soudage par étincelage (m), soudure par étincelage (f)",Abbrennstumpfschweißen (n)
7384,フラッシュ溶接,flash welding,soudage par étincelage (m),Abbrennschweißen (n)
7385,フラッシング,flushing,"curage (m), rinçage (m), arasement (m), égalisation (f), nivellement (m)","Spülen (n), Ebenen (n), Egalisieren (n), Nivellieren (n)"
7386,フラット,flat,plat (m),Plattenwagen (m)
7387,フラットスラブ構造物,flat slab structure,plancher champignon (m),Pilzdecke (f)
7388,プラットトラス橋,Pratt truss,treillis Pratt (m),Pratt-Querträger (m)
7389,フラットはく離,flat-induced shell,écaillage dû au plat (m),Fläche-Wegreißen (n)
7390,プラットホーム,platform,"quai (m), trottoir (m)","Bahnsteig (m), Perron (m)"
7391,富良野川橋梁災害,Furanogawa bridge disaster,désastre du pont de Furanogawa (m),Furanogawa-Brückenkatastrophe (f)
7392,フランジ［車輪の］,"wheel flange, flange, tire flange（米）/tyre flange（英）","boudin (m), boudin de roue (m)",Spurkranz (m)
7393,フランジ［構造物の］,flange,bride (f),Spurkranz
7394,フランジ厚さ,thickness of flange,épaisseur du boudin (f),Dicke des Spurkranzes (f)
7395,フランジウェー,flangeway,"cote de libre passage (f), ornière (f), ornière de guidage (f)","Führungsschienenabstand (m), Radlenkerleitflächenabstand (m), Führungsrille (f), Rillenweite (f), Spurrille (f)"
7396,フランジウェー圧雪,compacted snow under passing wheel flange,neige compactée sous boudin (f),verdichteter Schnee unter vorbeifahrenden Spurkränzen (m)
7397,フランジウェーの深さ,flangeway depth,profondeur d’ornière de guidage (f),Führungsrillentiefe (f)
7398,フランジウェー幅,flangeway width,largeur d’ornière (f),Führungsrillenweite (f)
7399,フランジ音［車輪の］,flange noise,bruit de bride (m),Spurkranzlärm (m)
7400,フランジ外側面距離,half distance between the outside surfaces of wheel flanges,semi-distance entre les surfaces extérieures de boudin (f),halbe Distanz zwischen den Außenflächen der Spurkränze (f)
7401,フランジ角［車輪の］,flange angle,angle de flanc du boudin (m),Spurkranzflankenwinkel (m)
7402,フランジ接触音［車輪の］,"flanging noise, flange contact noise, flange rubbing noise","bruit de bride (m), bruit de contact de bride (m), bruit de frottement de bride (m)","Spurkranzlarm (m), Spurkranzkontaktlarm (m), Spurkranzreibungslarm (m)"
7403,フランジ高さ［車輪の］,wheel flange height,hauteur de boudin de roue (f),Hohe des Spurkranzes (f)
7404,フランジ直立摩耗［車輪の］,vertical wear of tyre flange,usure verticale de boudin de roue (f),senkrechte Abnutzung des Spurkranzes (f)
7405,フランジ塗油器［車輪の］,flange lubricator,lubrificateur de boudin (m),Spurkranzschmierungsvorrichtung (f)
